,subj_idx,a0,a1,a2,b0,b1,b2,t0,t1,t2,v0,v1,v2,z,noise,umixturecoef
0,0,1.0509078599814234,1.1763235380406722,1.232113928002626,-0.747083437183336,-0.4702511720201319,-0.400638022014242,0.927170654540287,0.9132305108424865,0.7332446643070234,1.1904774118781118,1.9610283230022858,1.5604177089894118,0.5097718457489191,1,0
1,1,0.7754861335319078,0.8029485333578003,0.7563296412777533,-0.6414669357506791,-0.3057603144659859,-0.4521342135836563,0.8712377323392179,0.7759084295735998,0.7628098805791332,1.0755419816052447,0.9005732042410748,0.7849553508227064,0.48426074275176234,1,0
2,2,0.8996915930430401,0.9225767757712143,0.9001828546184534,-0.3109093658791675,-0.4381675194284646,-0.4116723612418599,0.7047566675855944,0.6893782746057278,0.7424899223176438,0.8786469658951812,0.8370579732392945,1.0431210890086673,0.5040412991803438,1,0
3,3,1.0785691179908086,1.5127199021010618,1.2675509253610686,-0.7233416036127716,-0.26866531550010503,-0.371434284436649,1.1321087712608402,0.8404848721036158,1.0026334982602476,1.1640099858943092,1.459669443252559,1.3777419007767837,0.6387940826991413,1,0
4,4,1.2673880802534543,1.1510048029459172,1.0428321949484305,-0.11004236782903036,-0.19833812028059514,0.005854524819231955,0.7836487588646583,0.7331079837561302,0.8286368253821705,1.5119585493780938,1.031768262930166,1.0639724459156,0.532760955892299,1,0
5,5,1.3526563797113476,1.3282636390572002,1.1772072605547694,-0.28870545796675,-0.235357665894027,-0.3386853054136953,0.6656436275201135,0.6997426795307825,0.8638402070221717,0.729608220913091,0.9019655866120136,1.0751786303223023,0.5119507465182723,1,0
6,6,1.200156403102962,0.9549759869579437,1.0564321154095377,-0.8373890682260237,-0.6492853509580837,-0.2790838045191313,0.9676271430371965,1.0304194031678882,0.8516429968853249,1.1633330102354573,1.0974068329315345,0.8672428204000822,0.5607158005451899,1,0
7,7,0.9312748392994332,0.87661355233913,0.8488215460524949,-0.7007505188390348,-0.623902791777331,-0.3214960023234933,1.3198038044821399,1.274651792088446,1.3508233794455649,1.0592961705570505,0.969945839225816,1.4830424320929603,0.5622814183324639,1,0
8,8,1.0478424666806285,0.8681266964629012,1.15054980236509,-1.0030008601823248,-0.7456831538296997,-0.36407720927985066,1.0267504824045286,1.1878488929694173,0.896146713460649,0.8953373406296039,1.17308961831279,1.1108990320852898,0.6484394191378706,1,0
9,9,1.1504983343452977,1.0434298311289847,1.214936085516963,-0.9100516067226421,-0.7018607752721978,-0.43602426589284543,0.9631447984264366,1.0442893999905916,0.8933982402871951,1.0225360048715408,1.143515208007231,1.2123857257901771,0.6009569408205452,1,0
10,10,1.0284343726446423,0.9538625765747002,0.9731243038242275,-0.18683569613479623,-0.28346420522594856,-0.30341693795964225,0.716527151303144,0.5591207805273598,0.5280111499012611,1.4142921973346798,0.9084398897615614,1.0851403969990616,0.49849333450055794,1,0
11,11,1.1702374586063604,1.1626310919194514,0.951559706185759,-1.3610156437949161,-1.3327962474426265,-1.1867009646478655,0.6494916447514246,0.5573666344810304,0.7764456108555597,0.7297034237277678,0.5741047510672882,0.8483892563945603,0.6070968852809003,1,0
12,12,0.7008017874795759,0.711913939964016,0.7380526678029732,-0.8695300784356798,-0.4256719775218982,-0.5922202877490352,0.5210247794740804,0.5199855866640565,0.5297492284755686,0.37242859966445674,0.4321689642075691,0.34241005352633563,0.5108356238617932,1,0
13,13,0.7980044596528434,0.7310381189632396,0.9029973452686094,-0.49032846717645534,-0.5084716752080884,-0.3352939736823311,0.737049885375205,0.78740872433941,0.6103494579864756,1.2683273277646931,1.4719662603810164,1.3220344750918775,0.5497938692431887,1,0
14,14,0.987942145207138,0.9169895436585724,0.9697042906238241,-0.7428936693791489,-0.6789294402420922,-0.3024849274751844,0.5002733046290443,0.4857173333045843,0.4700761250280768,0.3647575524211985,0.7035549829656323,0.6745099518330764,0.4457662023556079,1,0
