,subj_idx,a0,a1,a2,b0,b1,b2,t0,t1,t2,v0,v1,v2,z0,z1,z2,noise,umixturecoef
0,0,1.0619232925596196,1.1814659200634579,1.2362635766907908,-0.9364523249574733,-0.3489176244267659,-0.35082053372104194,0.9121350261366111,0.9205761574693335,0.7365001317415486,1.212174387834371,1.9759828527204892,1.567596282349803,0.5742052744212982,0.4783071463028942,0.49511264284735035,1,0
1,1,0.7735751213572697,0.8005636083163307,0.757730704288199,-0.6840719079971225,-0.36893292793706906,-0.4234545311191756,0.8697571746155845,0.7733520239224316,0.7636768527109207,1.070830098482772,0.9051172435676638,0.7913851591715564,0.4961963798023654,0.5083532370567707,0.4765656413835486,1,0
2,2,0.9014073317094596,0.9220745188428279,0.8987555813456294,-0.2852763059658616,-0.5166574508367022,-0.4069627922581413,0.7067776738035708,0.6853860038531143,0.7428641508030316,0.8733843763183113,0.8401902676954869,1.039827062111304,0.4915933395363885,0.5356363447950293,0.5046892144560278,1,0
3,3,1.067613412178112,1.5128099082976274,1.2641585435180742,-0.6347107863388942,-0.2556523292619261,-0.32361102469452546,1.139046425773084,0.8397767050099566,1.0012211558813509,1.153978622156107,1.4608925817084928,1.3783360748539533,0.6048230618894366,0.6356295649369526,0.6261133935468264,1,0
4,4,1.2666330671097166,1.1494009232716784,1.042522855584128,-0.18664514238753174,-0.1120075225892851,-0.03200161915689287,0.7779351342343738,0.7393920553450088,0.8305149558117486,1.4997555767815378,1.0412510580209298,1.0681214192176074,0.5555437850143539,0.5003786414362313,0.5497624663215168,1,0
5,5,1.351406443465054,1.3244552731339743,1.1844155815041992,-0.35643329436329324,-0.2599805994190346,-0.2626706643213221,0.6593292091881457,0.6976957224727274,0.8725735566193483,0.7309752912750414,0.904287609278399,1.0824141461001735,0.543608693005249,0.5262614952159305,0.4819701243140129,1,0
6,6,1.192139898950874,0.9559873833958931,1.0573436533865395,-0.9619956050208075,-0.5633087782773452,-0.24151692569935204,0.9617081557792102,1.034084976711517,0.8531097261164446,1.1571180380830148,1.0973078467297248,0.8671916454927383,0.6025102677655062,0.5303806348239758,0.5448918907864443,1,0
7,7,0.9327533328962614,0.8777074684419542,0.8485787459360116,-0.7416369727421412,-0.5706850149550966,-0.31519823828757026,1.3183746521034734,1.275804630304189,1.3506190222229835,1.0610240280484127,0.9678896476123017,1.4814735140961923,0.5734646288866337,0.5449222588923459,0.5605753295055838,1,0
8,8,1.0486876423681255,0.8657328123744515,1.1361098250873445,-1.0227630503996934,-0.6724333314631215,-0.26167756910985507,1.0273150645425821,1.186424769106843,0.8924310787827507,0.8960421224456495,1.167742514049503,1.0926686728276112,0.6528169477589411,0.6282117629807538,0.6164517238431747,1,0
9,9,1.1561501376243684,1.0385488534556062,1.2139486022477415,-0.9743616282563516,-0.6096953995949227,-0.3960796382146543,0.958985900727686,1.050298372088513,0.8922856284968431,1.0172292238005212,1.1446398226705663,1.2116741488165808,0.6190178043323314,0.569803893421953,0.5877480324576966,1,0
10,10,1.0225145051470372,0.9542200699918645,0.9747286369900179,-0.337756996543486,-0.27693572290907936,-0.23443951196481175,0.7108249796258269,0.558689407993718,0.5317758077522037,1.3992864703581813,0.9092236780461304,1.0919494313588838,0.5435117579846578,0.4985392147923024,0.47595597843673776,1,0
11,11,1.1753541002427879,1.1612773960291252,0.9538028216465102,-1.3670173743412914,-1.3304346657509416,-1.0844152660464301,0.6497750234864444,0.5572835973513162,0.7808041877813503,0.7297495599610773,0.5737138717344574,0.8505527860699967,0.6051950092218424,0.6071262392843829,0.572546039922816,1,0
12,12,0.7013986169740533,0.7119914417602587,0.7387638254534095,-1.0031774596607017,-0.4057690814079115,-0.5225182923930012,0.517806582643798,0.5203689909141227,0.5327713935395736,0.37498890749251024,0.4365224511695123,0.347291406947817,0.5532579792391832,0.5058914750522666,0.485900268187228,1,0
13,13,0.7983856918952875,0.7304470276874195,0.9031729490204132,-0.5675894181586886,-0.4523635811860315,-0.30755429861560224,0.7354182460954145,0.7885915281634372,0.6108209318403575,1.2551689461435893,1.4728280644121812,1.3285438540214942,0.5685982140867026,0.5354881552906637,0.5431582057341365,1,0
14,14,0.9823453603264283,0.9301058410169979,0.970262825833484,-0.9141692573665525,-0.5826676921734575,-0.31845540313270704,0.48018222567733665,0.49712588547753966,0.467080036342102,0.3713828524554716,0.7102994388519175,0.6754471456171821,0.5224205512868164,0.40573266550835807,0.4551813962429935,1,0
